generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
315,0.877386,0.855455,0.904303,0.897172,1.488
316,0.877386,0.855226,0.904303,0.897172,1.491
317,0.877386,0.860304,0.904303,0.897172,1.494
318,0.877798,0.857333,0.90045,0.884319,1.497
319,0.878294,0.859601,0.90045,0.897172,1.501
320,0.878294,0.855934,0.90045,0.897172,1.505
321,0.878765,0.86024,0.91201,0.897172,1.508
322,0.879692,0.864648,0.904303,0.902314,1.511
323,0.880013,0.858959,0.899165,0.902314,1.514
324,0.880013,0.86807,0.899165,0.902314,1.517
325,0.880122,0.86282,0.901734,0.915167,1.52
326,0.880541,0.857604,0.908799,0.915167,1.525
327,0.880541,0.864057,0.908799,0.915167,1.53
328,0.881379,0.859986,0.913295,0.920308,1.535
329,0.881379,0.862648,0.913295,0.920308,1.54
330,0.881379,0.863732,0.913295,0.920308,1.545
331,0.881379,0.856438,0.913295,0.920308,1.551
332,0.881379,0.86124,0.913295,0.920308,1.557
333,0.881379,0.861923,0.913295,0.920308,1.562
334,0.881379,0.860353,0.913295,0.920308,1.567
335,0.881993,0.861805,0.908157,0.917738,1.572
336,0.881993,0.859534,0.908157,0.917738,1.575
337,0.881993,0.860473,0.908157,0.917738,1.578
338,0.882008,0.859433,0.906872,0.922879,1.582
339,0.882008,0.854589,0.906872,0.922879,1.587
340,0.882303,0.860904,0.911368,0.922879,1.591
341,0.88231,0.859284,0.913295,0.933162,1.597
342,0.8824,0.864703,0.92036,0.922879,1.602
343,0.882519,0.855557,0.904945,0.92545,1.604
344,0.882965,0.856408,0.910084,0.930591,1.607
345,0.883642,0.861997,0.915222,0.951157,1.61
346,0.883642,0.861027,0.915222,0.951157,1.616
347,0.883642,0.855477,0.915222,0.951157,1.621
348,0.883642,0.863347,0.915222,0.951157,1.626
349,0.883642,0.855998,0.915222,0.951157,1.631
350,0.883642,0.858185,0.915222,0.951157,1.636
351,0.883642,0.859735,0.915222,0.951157,1.641
352,0.883642,0.862338,0.915222,0.951157,1.647
353,0.883642,0.858071,0.915222,0.951157,1.652
354,0.883642,0.854651,0.915222,0.951157,1.658
355,0.883642,0.85626,0.915222,0.951157,1.665
356,0.883642,0.86192,0.915222,0.951157,1.672
357,0.883668,0.860319,0.914579,0.920308,1.677
358,0.883668,0.867397,0.914579,0.920308,1.681
359,0.883691,0.860619,0.919717,0.92545,1.684
360,0.884019,0.858277,0.918433,0.943445,1.688
361,0.884019,0.855369,0.918433,0.943445,1.691
362,0.884019,0.861585,0.918433,0.943445,1.695
363,0.88412,0.861193,0.923571,0.938303,1.699
364,0.88412,0.859433,0.923571,0.938303,1.702
365,0.88412,0.862304,0.923571,0.938303,1.705
366,0.884553,0.858038,0.917791,0.930591,1.71
367,0.884553,0.863822,0.917791,0.930591,1.713
368,0.885217,0.86367,0.915864,0.917738,1.717
369,0.885217,0.859874,0.915864,0.917738,1.721
370,0.885217,0.863934,0.915864,0.917738,1.724
371,0.885217,0.863272,0.915864,0.917738,1.727
372,0.885217,0.857426,0.915864,0.917738,1.73
373,0.885217,0.857546,0.915864,0.917738,1.734
374,0.885217,0.860521,0.915864,0.917738,1.737
375,0.885217,0.860506,0.915864,0.917738,1.74
376,0.885748,0.853038,0.916506,0.920308,1.743
377,0.885748,0.861844,0.916506,0.920308,1.746
378,0.885748,0.867759,0.916506,0.920308,1.749
379,0.885748,0.865837,0.916506,0.920308,1.753
380,0.885748,0.860011,0.916506,0.920308,1.756
381,0.886215,0.864497,0.915864,0.928021,1.759
382,0.886214,0.861114,0.915864,0.928021,1.762
383,0.886214,0.866414,0.915864,0.928021,1.765
384,0.886689,0.861635,0.914579,0.92545,1.768
385,0.886987,0.861728,0.912653,0.933162,1.771
386,0.886987,0.866129,0.912653,0.933162,1.774
387,0.886987,0.862096,0.912653,0.933162,1.778
388,0.887501,0.864856,0.910084,0.930591,1.781
389,0.887501,0.860445,0.910084,0.930591,1.784
390,0.887501,0.865176,0.910084,0.930591,1.787
391,0.888124,0.863873,0.917791,0.935733,1.791
392,0.888278,0.861624,0.915222,0.928021,1.793
393,0.888278,0.869058,0.915222,0.928021,1.796
394,0.888278,0.862833,0.915222,0.928021,1.8
395,0.889331,0.861521,0.931278,0.943445,1.803
396,0.889331,0.865753,0.931278,0.943445,1.806
397,0.889331,0.861877,0.931278,0.943445,1.809
398,0.889331,0.861528,0.931278,0.943445,1.813
399,0.889331,0.869163,0.931278,0.943445,1.816
400,0.889624,0.860123,0.937058,0.948586,1.819
401,0.889624,0.8601,0.937058,0.948586,1.822
402,0.890146,0.860787,0.932563,0.938303,1.825
403,0.890146,0.864075,0.932563,0.938303,1.828
404,0.890146,0.861356,0.932563,0.938303,1.832
405,0.890146,0.861326,0.932563,0.938303,1.835
406,0.890365,0.864528,0.931278,0.946015,1.838
407,0.890514,0.861958,0.953757,0.958869,1.841
408,0.890599,0.86701,0.918433,0.943445,1.847
409,0.890599,0.862724,0.918433,0.943445,1.85
410,0.890599,0.859382,0.918433,0.943445,1.853
411,0.890599,0.857503,0.918433,0.943445,1.856
412,0.891329,0.860818,0.949904,0.966581,1.86
413,0.893443,0.868039,0.95183,0.966581,1.864
414,0.893443,0.868247,0.95183,0.966581,1.869
415,0.893443,0.86173,0.95183,0.966581,1.874
416,0.894636,0.867769,0.9544,0.976864,1.879
417,0.894636,0.86212,0.9544,0.976864,1.883
418,0.894636,0.864458,0.9544,0.976864,1.888
419,0.894636,0.868085,0.9544,0.976864,1.893
420,0.894802,0.862251,0.936416,0.96401,1.899
421,0.894802,0.856487,0.936416,0.96401,1.902
422,0.894802,0.855717,0.936416,0.96401,1.905
423,0.895323,0.867503,0.935774,0.976864,1.909
424,0.895323,0.859508,0.935774,0.976864,1.915
425,0.895323,0.866762,0.935774,0.976864,1.922
426,0.895323,0.869548,0.935774,0.976864,1.929
427,0.895323,0.86168,0.935774,0.976864,1.936
428,0.895323,0.858885,0.935774,0.976864,1.942
429,0.895483,0.871896,0.94605,0.966581,1.948
430,0.895483,0.862475,0.94605,0.966581,1.951
431,0.895704,0.86801,0.935132,0.953727,1.955
432,0.895717,0.86633,0.929994,0.96401,1.959
433,0.895993,0.866417,0.935132,0.96401,1.962
434,0.89613,0.869745,0.943481,0.96401,1.965
435,0.896699,0.864633,0.943481,0.96401,1.97
436,0.896699,0.867775,0.943481,0.96401,1.973
437,0.897659,0.865728,0.936416,0.96144,1.977
438,0.897659,0.866096,0.936416,0.96144,1.981
439,0.897659,0.868791,0.936416,0.96144,1.984
440,0.898132,0.857678,0.945408,0.979434,1.988
441,0.898132,0.867014,0.945408,0.979434,1.994
442,0.898132,0.862518,0.945408,0.979434,2.0
443,0.898132,0.864275,0.945408,0.979434,2.006
444,0.898132,0.870034,0.945408,0.979434,2.012
445,0.898132,0.867633,0.945408,0.979434,2.017
446,0.898132,0.865043,0.945408,0.979434,2.023
447,0.898132,0.866034,0.945408,0.979434,2.029
448,0.898132,0.866616,0.945408,0.979434,2.034
449,0.898308,0.872872,0.950546,0.96401,2.039
450,0.898308,0.864782,0.950546,0.96401,2.043
451,0.898308,0.866748,0.950546,0.96401,2.046
452,0.898308,0.861353,0.950546,0.96401,2.05
453,0.898456,0.86555,0.949261,0.979434,2.053
454,0.898456,0.869096,0.949261,0.979434,2.059
455,0.898793,0.865979,0.955684,0.96401,2.064
456,0.898835,0.862621,0.934489,0.953727,2.068
457,0.898835,0.868192,0.934489,0.953727,2.073
458,0.899069,0.874312,0.939628,0.958869,2.077
459,0.899489,0.867871,0.947977,0.96401,2.081
460,0.899489,0.863674,0.947977,0.96401,2.084
461,0.899489,0.865933,0.947977,0.96401,2.088
462,0.899489,0.860861,0.947977,0.96401,2.091
463,0.899489,0.866512,0.947977,0.96401,2.094
464,0.899489,0.869689,0.947977,0.96401,2.098
465,0.899766,0.871363,0.947335,0.979434,2.101
466,0.899766,0.8548,0.947335,0.979434,2.107
467,0.899766,0.858745,0.947335,0.979434,2.113
468,0.899766,0.862278,0.947335,0.979434,2.118
469,0.900034,0.866174,0.96018,0.982005,2.124
470,0.900034,0.869251,0.96018,0.982005,2.129
471,0.900034,0.865638,0.96018,0.982005,2.135
472,0.900034,0.865694,0.96018,0.982005,2.143
473,0.900034,0.863003,0.96018,0.982005,2.149
474,0.900034,0.865197,0.96018,0.982005,2.155
475,0.900034,0.86726,0.96018,0.982005,2.161
476,0.900349,0.876404,0.944766,0.971722,2.166
477,0.900349,0.868271,0.944766,0.971722,2.169
478,0.900349,0.871272,0.944766,0.971722,2.173
479,0.900349,0.858024,0.944766,0.971722,2.177
480,0.900349,0.864054,0.944766,0.971722,2.18
481,0.900673,0.866414,0.947977,0.96401,2.183
482,0.900821,0.86302,0.944123,0.940874,2.189
483,0.900821,0.876171,0.944123,0.940874,2.193
484,0.901713,0.86768,0.949904,0.982005,2.196
